"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","570","Registro de usuario inválido","Registro","Wed May 14 10:14:45 CST 2025","passed","Wed May 14 10:14:46 CST 2025","","","",""
"","1385","Registro de usuario válido","Registro","Wed May 14 10:14:44 CST 2025","passed","Wed May 14 10:14:45 CST 2025","","","",""
